2016-03-23 22:22:52 INFO  MainWindow:43 - Opening: ptcsetup.log
2016-03-23 22:29:52 INFO  MainWindow:45 - Opening: ptcsetup.log
2016-03-23 22:31:43 INFO  MainWindow:47 - Opening: ptcsetup.log
2016-03-23 22:43:07 INFO  MainWindow:48 - Opening: ptcsetup.log
2016-03-23 22:43:13 INFO  MainWindow:62 - Save as file: C:\Users\HP PC\Documents\copyfile
2016-03-23 22:43:23 INFO  MainWindow:48 - Opening: Новый текстовый документ.txt
2016-03-23 22:47:31 INFO  MainWindow:67 - Save as file: null
2016-03-23 22:47:43 INFO  MainWindow:48 - Opening: myFile.txt
2016-03-23 22:47:49 INFO  MainWindow:48 - Opening: myFile.txt
2016-03-26 16:13:58 INFO  MainWindow:49 - Opening: ptcsetup.log
2016-03-27 13:20:48 INFO  MainWindow:138 - Save as file: null
2016-03-27 13:21:20 INFO  MainWindow:138 - Save as file: null
2016-03-27 19:02:47 INFO  MainWindow:150 - Save as file: null
2016-03-27 19:04:31 INFO  MainWindow:150 - Save as file: null
2016-03-27 19:05:35 INFO  MainWindow:150 - Save as file: null
2016-03-27 19:09:18 INFO  MainWindow:138 - Save as file: null
2016-03-27 19:09:34 INFO  MainWindow:138 - Save as file: null
2016-03-27 19:10:14 INFO  MainWindow:138 - Save as file: null
2016-03-27 19:10:28 INFO  MainWindow:138 - Save as file: null
2016-03-27 19:11:07 INFO  MainWindow:139 - Save as file: null
2016-03-27 19:13:01 INFO  MainWindow:149 - Save as file: doc
2016-03-27 19:14:41 INFO  MainWindow:149 - Save as file: doc1
2016-03-27 19:21:56 INFO  MainWindow:152 - Save as file: 123
2016-03-27 19:23:01 INFO  MainWindow:121 - Opening: 123.txt
2016-03-27 19:25:37 INFO  MainWindow:156 - Save as file: doc
2016-03-27 19:27:56 INFO  MainWindow:156 - Save as file: doc
2016-03-27 19:29:09 INFO  MainWindow:156 - Save as file: doc1
2016-03-27 23:26:54 INFO  MainView:187 - Opening: CV.json
2016-03-27 23:34:45 INFO  MainView:188 - Opening: CV.json
2016-03-27 23:35:47 INFO  MainView:187 - Opening: CV.json
2016-03-28 18:43:51 INFO  MainView:184 - Opening: CV.json
2016-03-28 18:44:57 INFO  MainView:184 - Opening: CV.json
2016-03-28 18:57:24 INFO  MainView:184 - Opening: CV.json
2016-03-28 18:58:49 INFO  MainView:184 - Opening: CV.json
2016-03-28 18:59:24 INFO  MainView:184 - Opening: CV.json
2016-03-28 18:59:47 INFO  MainView:184 - Opening: CV.json
2016-03-28 19:02:20 INFO  MainView:184 - Opening: CV.json
2016-03-28 19:02:40 INFO  MainView:184 - Opening: CV.json
2016-03-28 19:02:59 INFO  MainView:184 - Opening: CV.json
2016-03-28 19:03:19 INFO  MainView:184 - Opening: CV.json
2016-03-28 19:05:26 INFO  MainView:184 - Opening: CV.json
2016-03-28 19:05:46 INFO  MainView:184 - Opening: CV.json
2016-03-28 19:05:52 INFO  MainView:184 - Opening: CV.json
2016-03-28 19:06:10 INFO  MainView:184 - Opening: CV.json
2016-03-28 19:06:46 INFO  MainView:184 - Opening: CV.json
2016-03-28 19:12:46 INFO  MainView:184 - Opening: CV.json
2016-03-28 19:15:24 INFO  MainView:185 - Opening: CV.json
2016-03-28 19:15:42 INFO  MainView:185 - Opening: CV.json
2016-03-28 19:16:38 INFO  MainView:185 - Opening: CV.json
2016-03-28 19:18:25 INFO  MainView:185 - Opening: CV.json
2016-03-28 19:18:45 INFO  MainView:185 - Opening: CV.json
2016-03-28 19:19:41 INFO  MainView:185 - Opening: CV.json
2016-03-28 19:20:11 INFO  MainView:185 - Opening: CV.json
2016-03-28 19:20:46 INFO  MainView:185 - Opening: CV.json
2016-03-28 19:24:20 INFO  MainView:184 - Opening: CV.json
2016-03-28 19:25:20 INFO  MainView:184 - Opening: CV.json
2016-03-28 19:25:58 INFO  MainView:184 - Opening: CV.json
2016-03-28 19:26:34 INFO  MainView:184 - Opening: CV.json
2016-03-28 19:27:49 INFO  MainView:184 - Opening: CV.json
2016-03-28 19:28:31 INFO  MainView:184 - Opening: CV.json
2016-03-28 19:37:39 INFO  MainView:184 - Opening: CV.json
2016-03-28 19:38:46 INFO  MainView:184 - Opening: CV.json
2016-03-28 19:40:50 INFO  MainView:184 - Opening: CV.json
2016-03-28 19:41:27 INFO  MainView:184 - Opening: CV.json
2016-03-28 19:42:17 INFO  MainView:184 - Opening: CV.json
2016-03-29 01:15:43 INFO  MainView:221 - Opening: CV.json
2016-03-29 01:42:10 INFO  MainView:254 - Save as file: cvtext
2016-03-29 01:45:10 INFO  MainView:242 - Opening: CV.json
2016-03-29 01:48:50 INFO  MainView:245 - Opening: CV.json
